Namespace;Class name;Attribute name;Designation;Definition;Multiplicity;Type;Origin;Original code
Situation;Accident;accidentType;Accident type;A characterization of the nature of the accident.;1..*;EAID_D13BE3BE_AF8F_4965_9124_6A2EAA72E49C;;
Situation;Accident;collisionType;Collision type;Identifies a type of collision;0..1;EAID_239B367D_425F_46d5_82E9_D6B8C48DB163;;
Situation;AuthorityOperation;authorityOperationType;Authority operation type;Type of authority initiated operation or activity that could disrupt traffic. ;1..1;EAID_3B6AB3C6_04BE_4897_B186_FE7A235C004F;;
Situation;DisturbanceActivity;disturbanceActivityType;Disturbance activity type;Includes all situations of a public disorder type or of an alert type, with potential to disrupt traffic.;1..1;EAID_997A4339_FD4A_4e5a_8307_2E5F6BF17FE4;;
Situation;PublicEvent;publicEventType;Public event type;Type of public event which could disrupt traffic.;1..1;EAID_518C29AF_2350_4697_8AEC_A71E58DFB604;;
LocationReferencing;AlertCDirection;alertCAffectedDirection;ALERT-C affected direction;The direction(s) of traffic flow to which the situation, traffic data or information is related.;1..1;EAID_3855110B_58FC_4abc_B24D_F8E0A01CE1DB;;
LocationReferencing;AlertCDirection;alertCDirectionCoded;ALERT-C direction coded;Direction of navigation with respect to secondary to primary location (RDS direction);1..1;EAID_5A62C6CA_28AA_4848_AFF3_992315B92E7D;;
LocationReferencing;AlertCDirection;alertCDirectionNamed;ALERT-C direction named;ALERT-C name of a direction e.g. Brussels -> Lille.;0..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
LocationReferencing;AlertCLinear;alertCLocationCountryCode;ALERT-C location country code;ALERT-C country code as defined in IEC 62106.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;AlertCLinear;alertCLocationTableNumber;ALERT-C location table number;Number allocated to an ALERT-C table in a country. Ref. EN ISO 14819-3 for the allocation of a location table number.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;AlertCLinear;alertCLocationTableVersion;ALERT-C location table version;Version number associated with an ALERT-C table reference.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;AlertCLocation;alertCLocationName;ALERT-C location name;Name of ALERT-C location.;0..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
LocationReferencing;AlertCLocation;specificLocation;Specific location;Unique code within the ALERT-C location table which identifies the specific point, linear or area location.;1..1;EAID_22779E6E_6805_4e1f_8F2D_629E770D8C18;;
LocationReferencing;AlertCPoint;alertCLocationCountryCode;ALERT-C location country code;ALERT-C country code as defined IEC 62106.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;AlertCPoint;alertCLocationTableNumber;ALERT-C location table number;Number allocated to an ALERT-C table in a country. Ref. EN ISO 14819-3 for the allocation of a location table number.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;AlertCPoint;alertCLocationTableVersion;ALERT-C location table version;Version number associated with an ALERT-C table reference.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;AlertCArea;alertCLocationCountryCode;ALERT-C location country code;ALERT-C country code as defined in IEC 62106.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;AlertCArea;alertCLocationTableNumber;ALERT-C location table number;Number allocated to an ALERT-C table in a country. Ref. EN ISO 14819-3 for the allocation of a location table number.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;AlertCArea;alertCLocationTableVersion;ALERT-C location table version;Version number associated with an ALERT-C table reference.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
Situation;Cause;causeDescription;Cause description;Description of a cause which is not managed by the publication creator (e.g. an off network cause).;0..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
Situation;Cause;causeType;Cause type;Indicates an external influence that may be the causation of components of a situation.;0..1;EAID_C3B6B88D_E3D6_4701_A822_4D437EDEF0A9;;
Situation;Comment;comment;Comment;A free text comment that can be used by the operator to convey un-coded observations/information.;1..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
Situation;Comment;commentDateTime;Comment date time;The date/time at which the comment was made.;0..1;EAID_B3DA3E42_F3EC_426b_BE80_37FF4BCB6CBA;;
Situation;Comment;commentType;Comment type;A classification of the the type of comment.;0..1;EAID_C00DE0D2_A386_41bb_A307_9DAD672E78AB;;
Situation;DetailedCauseType;abnormalTrafficType;Abnormal traffic type;A characterization of the nature of abnormal traffic flow, i.e. specifically relating to the nature of the traffic movement.;0..1;EAID_5171B7C7_4F55_4526_B4C2_F173BF203431;;
Situation;DetailedCauseType;accidentType;Accident type;A characterization of the nature of the accident.;0..*;EAID_D13BE3BE_AF8F_4965_9124_6A2EAA72E49C;;
Situation;DetailedCauseType;animalPresenceType;Animal presence type;Indicates the nature of animals present on or near the roadway.;0..1;EAID_85585791_5FA9_4866_9E6B_0241DC4F8D86;;
Situation;DetailedCauseType;authorityOperationType;Authority operation type;Type of authority initiated operation or activity that could disrupt traffic. ;0..1;EAID_3B6AB3C6_04BE_4897_B186_FE7A235C004F;;
Situation;DetailedCauseType;constructionWorkType;Construction work type;The type of construction work being performed.;0..1;EAID_9D6F08AF_E84C_4ea2_B541_A2F0FA565FD4;;
Situation;DetailedCauseType;disturbanceActivityType;Disturbance activity type;Includes all situations of a public disorder type or of an alert type, with potential to disrupt traffic.;0..1;EAID_997A4339_FD4A_4e5a_8307_2E5F6BF17FE4;;
Situation;DetailedCauseType;drivingConditionType;Driving condition type;Description of the driving conditions at the specified location.;0..1;EAID_FA2F93D5_4CAB_4ea8_8473_8B2493935309;;
Situation;DetailedCauseType;environmentalObstructionType;Environmental obstruction type;Characterization of an obstruction on the road resulting from an environmental cause.;0..1;EAID_1383A063_FBEE_4ba5_9408_C2E30134F4BE;;
Situation;DetailedCauseType;equipmentOrSystemFaultType;Equipment or system fault type;Failure, malfunction or non operational condition of equipment or system.;0..1;EAID_DE4E0BE5_6E80_4cf8_A0F4_BEF93A05BDD0;;
Situation;DetailedCauseType;generalInstructionToRoadUsersType;General instruction to road users type;General instruction that is issued by the network/road operator which is applicable to drivers and sometimes passengers.;0..1;EAID_190234CA_6BF4_4c6f_BF65_AB4550B5A884;;
Situation;DetailedCauseType;generalNetworkManagementType;General network management type;The type of traffic management action instigated by the network/road operator.;0..1;EAID_C077F57A_C187_4550_AA1C_1E44BEA12828;;
Situation;DetailedCauseType;infrastructureDamageType;Infrastructure damage type;Characterization of an obstruction on the road resulting from the failure or damage of infrastructure on, under, above or close to the road.;0..1;EAID_CB4CE3F6_900F_4724_A212_3B072403A478;;
Situation;DetailedCauseType;nonWeatherRelatedRoadConditionType;Non weather related road condition type;The type of road conditions which are not related to the weather.;0..*;EAID_FD58E3E5_77F1_4bff_916E_E4EB1292F00D;;
Situation;DetailedCauseType;obstructionType;Obstruction type;Characterization of the type of general obstruction.;0..*;EAID_C2919DE7_121B_4857_B5C0_1707823BB4C7;;
Situation;DetailedCauseType;poorEnvironmentType;Poor environment type;The type of environment condition which is affecting driving conditions.;0..*;EAID_E1FE98BB_2680_422d_BD36_532AB800036C;;
Situation;DetailedCauseType;publicEventType;Public event type;Type of public event which could disrupt traffic.;0..1;EAID_518C29AF_2350_4697_8AEC_A71E58DFB604;;
Situation;DetailedCauseType;reroutingManagementType;Rerouting management type;Type of rerouting management action instigated by operator.;0..*;EAID_D62A78D5_46C5_4910_BC1E_39905542FA47;;
Situation;DetailedCauseType;roadMaintenanceType;Road maintenance type;The type of road maintenance or installation work at the specified location.;0..*;EAID_0E6AA3F1_2E2A_46ee_81DB_2A712623EE05;;
Situation;DetailedCauseType;roadOperatorServiceDisruptionType;Road operator service disruption type;The type of road operator service which is disrupted.;0..*;EAID_2802EC6F_D629_4e24_8E69_26D903BF3EBE;;
Situation;DetailedCauseType;roadOrCarriagewayOrLaneManagementType;Road or carriageway or lane management type;Type of road, carriageway or lane management action instigated by operator.;0..1;EAID_C76C4E19_C7D9_4938_8BA5_8B5CDD35137A;;
Situation;DetailedCauseType;roadsideAssistanceType;Roadside assistance type;Indicates the nature of the road side assistance that will be, is or has been provided.;0..1;EAID_460B7757_E9D8_4957_8870_9A3FCFCC8E99;;
Situation;DetailedCauseType;roadsideServiceDisruptionType;Roadside service disruption type;The type of roadside service which is disrupted.;0..*;EAID_A5D45882_2346_433c_9444_415689FC888E;;
Situation;DetailedCauseType;speedManagementType;Speed management type;Type of speed management action instigated by operator.;0..1;EAID_2832B76B_8083_4766_BC98_32897AC63360;;
Situation;DetailedCauseType;transitServiceInformation;Transit service information;Information about transit services.;0..1;EAID_4E0A980A_61AD_4dea_812C_F7D464E0854D;;
Situation;DetailedCauseType;vehicleObstructionType;Vehicle obstruction type;Characterization of an obstruction on the road caused by one or more vehicles.;0..1;EAID_64FC5DF5_9DA2_48c8_B6FF_A1299DD6EAE5;;
Situation;DetailedCauseType;weatherRelatedRoadConditionType;Weather related road condition type;The type of road surface condition that is related to the weather which is affecting the driving conditions.;0..*;EAID_6B1CA617_8B38_4b04_A8F6_E7BFF5BFBDD4;;
Situation;DetailedCauseType;winterEquipmentManagementType;Winter equipment management type;Type of winter equipment management action instigated by operator.;0..1;EAID_89946255_EE22_4b00_8785_4C861B96E61C;;
Situation;GenericSituationRecord;genericSituationRecordName;Generic situation record name;The name of the GenericSituationRecord.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
Situation;GroupOfPeopleInvolved;injuryStatusType;Injury status type;The injury status of the people involved.;0..1;EAID_1B8E45C0_E666_4d06_A401_30F65522CEBE;;
Situation;GroupOfPeopleInvolved;numberOfPeople;Number of people;The number of people of this group that are involved.;0..1;EAID_FBC8547A_BFDA_44df_B881_4F6BF8DA58EF;;
Common;GroupOfVehiclesInvolved;numberOfVehicles;Number of vehicles;The number of vehicles of this group that are involved.;0..1;EAID_FBC8547A_BFDA_44df_B881_4F6BF8DA58EF;;
Common;HazardousMaterials;chemicalName;Chemical name;The chemical name of the hazardous substance carried by the vehicle.;1..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
Common;HazardousMaterials;dangerousGoodsFlashPoint;Dangerous goods flash point;The temperature at which the vapour from a hazardous substance will ignite in air.;0..1;EAID_D1E5B5C9_F64E_43ff_967A_01DC71CB615B;;
Common;HazardousMaterials;dangerousGoodsRegulations;Dangerous goods regulations;The code defining the regulations, international or national, applicable for a means of transport.;0..1;EAID_D16997D8_2DAD_4489_B5A9_61EBFE40AC84;;
Common;HazardousMaterials;hazardCodeIdentification;Hazard code identification;The dangerous goods description code.;0..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
Common;HazardousMaterials;hazardCodeVersionNumber;Hazard code version number;The version/revision number of date of issuance of the hazardous material code used.;0..1;EAID_FBC8547A_BFDA_44df_B881_4F6BF8DA58EF;;
Common;HazardousMaterials;hazardSubstanceItemPageNumber;Hazard substance item page number;A number giving additional hazard code classification of a goods item within the applicable dangerous goods regulation.;0..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
Common;HazardousMaterials;tremCardNumber;Trem card number;The identification of a transport emergency card giving advice for emergency actions.;0..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
Common;HazardousMaterials;undgNumber;UNDG number;A unique serial number assigned within the United Nations to substances and articles contained in a list of the dangerous goods most commonly carried.;0..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
Common;HazardousMaterials;volumeOfDangerousGoods;Volume of dangerous goods;The volume of dangerous goods on the vehicle(s) reported in a traffic/travel situation.;0..1;EAID_B430CAA9_5E2C_46d9_A39B_4CFEBA230F73;;
Common;HazardousMaterials;weightOfDangerousGoods;Weight of dangerous goods;The weight of dangerous goods on the vehicle(s) reported in a traffic/travel situation.;0..1;EAID_18215DD2_0F5E_4c31_976A_BA16FF6F8CBE;;
Common;HeaderInformation;allowedDeliveryChannel;Allowed delivery channel;The allowed delivery channel.;0..*;EAID_0D08CBD0_4BB9_40b8_B709_794334B20849;;
Common;HeaderInformation;confidentiality;Confidentiality;The extent to which the related information may be circulated, according to the recipient type.;0..1;EAID_74A8CB5B_7457_4096_BB47_5F88068F0055;;
Common;HeaderInformation;informationStatus;Information status;The status of the related information (real, test, exercise ....).;1..1;EAID_960BC244_5D5A_45ec_8572_3EF2EB88664B;;
Common;InternationalIdentifier;country;Country;EN ISO 3166-1 two-character country code.;1..1;EAID_31321824_B48F_4b14_8739_481ABEA68F95;;
Common;InternationalIdentifier;nationalIdentifier;National identifier;Identifier or name unique within the specified country.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
Situation;Mobility;mobilityType;Mobility type;An indication of whether the associated instance of a SituationRecord is mobile (e.g. a march or parade moving along a road) or stationary.;1..1;EAID_6549B167_9E3B_4b62_BA73_316727222ED7;;
Situation;Mobility;speed;Speed;Speed of the mobile entity.;0..1;EAID_0FE37E95_3797_468c_BFF9_B7E72038506A;;
Common;PayloadPublication;defaultLanguage;Default language;The default language used throughout the payload publication.;1..1;EAID_0CF8718C_61C5_4a31_836C_1FBF19DB4EEF;;
Common;PayloadPublication;publicationTime;Publication time;Date/time at which the payload publication was created.;1..1;EAID_B3DA3E42_F3EC_426b_BE80_37FF4BCB6CBA;;
Situation;Situation;overallSeverity;Overall severity;The overall assessment of the impact (in terms of severity) that the situation as a whole is having, or will have, on the traffic flow as perceived by the supplier.;0..1;EAID_70F23F05_624B_4683_947F_BBBC8A2F8210;;
Situation;Situation;situationVersionTime;Situation version time;The date/time that this current version of the Situation was written into the database of the supplier which is involved in the data exchange. Identity and version of the situation are defined by the class stereotype implementation.;0..1;EAID_B3DA3E42_F3EC_426b_BE80_37FF4BCB6CBA;;
Situation;SituationRecord;confidentialityOverride;Confidentiality override;The extent to which the related information may be circulated, according to the recipient type. Recipients must comply with this confidentiality statement. This overrides any confidentiality defined for the situation as a whole in the header information.;0..1;EAID_74A8CB5B_7457_4096_BB47_5F88068F0055;;
Situation;SituationRecord;probabilityOfOccurrence;Probability of occurrence;An assessment of the degree of likelihood that the reported event will occur.;1..1;EAID_8EB4A178_6D8A_4e7a_8691_5B441EF4D32D;;
Situation;SituationRecord;safetyRelatedMessage;Safety related message;Indicates whether this SituationRecord specifies a safety-related traffic situation. At least all traffic situations governed by Commission Delegated Regulation (EU) No 886/2013 shall be indicated.;1..1;EAID_009D010E_BE3D_49c1_86D8_34478683971E;;
Situation;SituationRecord;severity;Severity;The assessment of the impact (in terms of severity) that this element of the situation is having, or will have, on the traffic flow as perceived by the supplier.;0..1;EAID_70F23F05_624B_4683_947F_BBBC8A2F8210;;
Situation;SituationRecord;situationRecordCreationReference;Situation record creation reference;A unique alphanumeric reference (e.g. an external reference or a UUID) of the SituationRecord object (the first version of the record) that was created by the original supplier.;0..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
Situation;SituationRecord;situationRecordCreationTime;Situation record creation time;The date/time that the SituationRecord object (the first version of the record) was created by the original supplier.;1..1;EAID_B3DA3E42_F3EC_426b_BE80_37FF4BCB6CBA;;
Situation;SituationRecord;situationRecordFirstSupplierVersionTime;Situation record first supplier version time;The date/time that the current version of the Situation Record was written into the database of the original supplier in the supply chain.;0..1;EAID_B3DA3E42_F3EC_426b_BE80_37FF4BCB6CBA;;
Situation;SituationRecord;situationRecordObservationTime;Situation record observation time;The date/time that the information represented by the current version of the SituationRecord was observed by the original (potentially external) source of the information.;0..1;EAID_B3DA3E42_F3EC_426b_BE80_37FF4BCB6CBA;;
Situation;SituationRecord;situationRecordVersionTime;Situation record version time;The date/time that this current version of the SituationRecord within the situation was written into the database of the supplier which is involved in the data exchange. Identity and version of record are defined by the class stereotype implementation.;1..1;EAID_B3DA3E42_F3EC_426b_BE80_37FF4BCB6CBA;;
Common;Source;reliable;Reliable;An indication as to whether the source deems the associated information to be reliable/correct. "True" indicates it is deemed reliable.;0..1;EAID_009D010E_BE3D_49c1_86D8_34478683971E;;
Common;Source;sourceCountry;Source country;EN ISO 3166-1 two-character country code of the source of the information.;0..1;EAID_31321824_B48F_4b14_8739_481ABEA68F95;;
Common;Source;sourceIdentification;Source identification;Language independent textual code or identifier for the organisation or the equipment that has produced the information.;0..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
Common;Source;sourceName;Source name;The name of the organisation which has produced the information relating to this version of the information.;0..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
Common;Source;sourceType;Source type;Information about the technology used for measuring the data or the method used for obtaining qualitative descriptions relating to this version of the information.;0..1;EAID_0AB15B40_9052_4729_B75B_C9675226DAD1;;
Common;UrlLink;urlLinkAddress;URL link address;A Uniform Resource Locator (URL) address pointing to a resource available on the Internet from where further relevant information may be obtained.;1..1;EAID_9E8CF17C_B4F8_4f07_BF28_6EAA0295294D;;
Common;UrlLink;urlLinkDescription;URL link description;Description of the relevant information available on the Internet from the URL link.;0..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
Common;UrlLink;urlLinkType;URL link type;Details of the type of relevant information available on the Internet from the URL link.;0..1;EAID_726C154B_6CE3_4038_A274_0AF455F5B74C;;
Situation;NonWeatherRelatedRoadConditions;nonWeatherRelatedRoadConditionType;Non weather related road condition type;The type of road conditions which are not related to the weather.;1..*;EAID_FD58E3E5_77F1_4bff_916E_E4EB1292F00D;;
Situation;PoorEnvironmentConditions;poorEnvironmentType;Poor environment type;The type of environment condition which is affecting driving conditions.;1..*;EAID_E1FE98BB_2680_422d_BD36_532AB800036C;;
Situation;WeatherRelatedRoadConditions;weatherRelatedRoadConditionType;Weather related road condition type;The type of road surface condition that is related to the weather which is affecting the driving conditions.;1..*;EAID_6B1CA617_8B38_4b04_A8F6_E7BFF5BFBDD4;;
Common;DataValue;accuracy;Accuracy;The extent to which the value is expected to be free from error, measured as a percentage of the data value. 100% means fully accurate.;0..1;EAID_1BCFDF65_6763_431e_A6E6_7DDD466F0FDC;;
Common;DataValue;computationalMethod;Computational method;Method of computation which has been used to compute this data value.;0..1;EAID_1CE00FF9_97FD_4e1a_A814_C9A4B099D96C;;
Common;DataValue;dataError;Data error;Indication of whether the value is deemed to be erroneous by the supplier (true = erroneous). If not present, the data value is assumed to be ok. This may be used when automatic fault detection information relating to sensors is available.;0..1;EAID_009D010E_BE3D_49c1_86D8_34478683971E;;
Common;DataValue;numberOfIncompleteInputs;Number of incomplete inputs;The number of inputs detected but not completed during the sampling or measurement period; e.g. vehicles detected entering but not exiting the detection zone.;0..1;EAID_FBC8547A_BFDA_44df_B881_4F6BF8DA58EF;;
Common;DataValue;numberOfInputValuesUsed;Number of input values used;The number of input values used in the sampling or measurement period to determine the data value.;0..1;EAID_FBC8547A_BFDA_44df_B881_4F6BF8DA58EF;;
Common;DataValue;reasonForDataError;Reason for data error;The reason why the value is deemed to be erroneous by the supplier.;0..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
Common;DataValue;smoothingFactor;Smoothing factor;Coefficient required when a moving average is computed to give specific weights to the former average and the new data. A typical formula is, F being the smoothing factor: New average = (old average) F + (new data) (1 - F).;0..1;EAID_6D9A1FCE_0D84_4c83_9683_2AE099B41685;;
Common;DataValue;standardDeviation;Standard deviation;The standard deviation of the sample of input values from which this value was derived, measured in the units of the data value. ;0..1;EAID_6D9A1FCE_0D84_4c83_9683_2AE099B41685;;
Common;DataValue;supplierCalculatedDataQuality;Supplier calculated data quality;A measure of data quality assigned to the value by the supplier. 100% equates to ideal/perfect quality. The method of calculation is supplier specific and needs to be agreed between supplier and client.;0..1;EAID_1BCFDF65_6763_431e_A6E6_7DDD466F0FDC;;
RoadTrafficData;DateTimeValue;dateTime;Date time;A time stamp defining an instant in time.;1..1;EAID_B3DA3E42_F3EC_426b_BE80_37FF4BCB6CBA;;
Common;FrictionValue;friction;Friction;Friction, usually a value between 0 and 1.;1..1;EAID_6D9A1FCE_0D84_4c83_9683_2AE099B41685;;
Common;IntegerMetreDistanceValue;integerMetreDistance;Integer metre distance;A value of distance expressed in metres in a non-negative integer format.;1..1;EAID_16453DDC_C636_432b_A57A_B792035AD9C9;;
Common;SpeedValue;speed;Speed;A value of speed expressed in kilometres per hour.;1..1;EAID_0FE37E95_3797_468c_BFF9_B7E72038506A;;
Common;VehicleFlowValue;vehicleFlowRate;Vehicle flow rate;A value of vehicle flow rate expressed in vehicles per hour.;1..1;EAID_4E6BDBFC_6A87_45b3_B2B3_A62D0F0B1D72;;
LocationReferencing;GmlLineString;posList;Pos list;List of coordinate tuples define the geometry of this GmlLineString. There must be at least 2 tuples of coordinates. Form depends on coordinate reference system; typical form is space-separated pairs of latitude and longitude.;1..1;EAID_54C506D2_F537_4288_BA08_C5BCABF49ED6;;
LocationReferencing;GmlLineString;srsDimension;Srs dimension;Provides the size of the tuple of coordinates of each point. This number is 2 or 3. By default when omitted the dimension shall be interpreted as 2.;0..1;EAID_FBC8547A_BFDA_44df_B881_4F6BF8DA58EF;;
LocationReferencing;GmlLineString;srsName;Srs name;Specifies the Coordinate Reference System (CRS) used to interpret the coordinates in this GmlLineString;0..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;GmlMultiPolygon;gmlAreaName;Gml area name;Name of the multi-polygon area;0..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
Situation;Delays;delayTimeValue;Delay time value;The value of the additional travel time due to adverse travel conditions of any kind, when compared to "normal conditions", given in seconds.;1..1;EAID_60B31F7C_803F_4351_A52B_B9E11C22B6E6;;
Situation;Impact;numberOfLanesRestricted;Number of lanes restricted;The number of normally usable lanes on the carriageway which are now restricted either fully or partially (this may include the hard shoulder if it is normally available for operational use, e.g. in hard shoulder running schemes).;0..1;EAID_FBC8547A_BFDA_44df_B881_4F6BF8DA58EF;;
Situation;Impact;numberOfOperationalLanes;Number of operational lanes;The number of usable lanes in the specified direction which remain fully operational (this may include the hard shoulder if it is being used as an operational lane).;0..1;EAID_FBC8547A_BFDA_44df_B881_4F6BF8DA58EF;;
Situation;Impact;residualLaneWidth;Residual lane width;The width of lanes after any lane narrowing;0..1;EAID_5F90D438_ECAA_4f3c_940B_9FE694BC71FA;;
Situation;Impact;residualRoadWidth;Residual road width;The total width of the combined operational lanes in the specified direction.;0..1;EAID_5F90D438_ECAA_4f3c_940B_9FE694BC71FA;;
LocationReferencing;LinearWithinLinearElement;administrativeAreaOfLinearSection;Administrative area of linear section;Identification of the road administration area which contains the specified linear section.;0..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
LocationReferencing;LinearWithinLinearElement;directionOnLinearSection;Direction on linear section;The direction of traffic flow on the linear section in terms of general destination direction.;0..1;EAID_21079C67_C37F_4608_A1B6_3203D8F4FBF4;;
LocationReferencing;LinearWithinLinearElement;directionRelativeOnLinearSection;Direction relative on linear section;The direction of traffic flow on the linear section relative to the direction in which the linear element is defined.;0..1;EAID_3855110B_58FC_4abc_B24D_F8E0A01CE1DB;;
LocationReferencing;LinearWithinLinearElement;heightGradeOfLinearSection;Height grade of linear section;Identification of whether the linear section that is part of the linear element is at, above or below the normal elevation of a linear element of that type (e.g. road or road section) at that location, typically used to indicate "grade" separation.;0..1;EAID_58DB636F_DC56_4c5b_A6B9_B836009EB0A2;;
LocationReferencing;AreaLocation;areasAtWhichApplicable;Areas at which applicable;Places, in generic terms, at which the corresponding information applies.;0..1;EAID_B3C2F246_36BF_4197_820A_AFED76889E4B;;
LocationReferencing;ExternalReferencing;externalLocationCode;External location code;A code in the external referencing system which defines the location.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;ExternalReferencing;externalReferencingSystem;External referencing system;Identification of the external/other location referencing system.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;ItineraryByReference;predefinedItineraryReference;Predefined itinerary reference;A reference to a versioned instance of a predefined itinerary as specified in a PredefinedLocationsPublication.;1..1;EAID_3BA348A2_B96E_4bc1_BF06_A2326B0E81BD;;
LocationReferencing;LocationByReference;predefinedLocationReference;Predefined location reference;A reference to a versioned predefined location.;1..1;EAID_3BA348A2_B96E_4bc1_BF06_A2326B0E81BD;;
LocationReferencing;OffsetDistance;offsetDistance;Offset distance;The non-negative offset distance from the ALERT-C referenced point to the actual point. The ALERT-C locations in the primary and secondary locations must always encompass the linear section being specified, thus offset distance is towards the other point.;1..1;EAID_16453DDC_C636_432b_A57A_B792035AD9C9;;
LocationReferencing;IsoNamedArea;subdivisionCode;Subdivision code;The second part of an ISO 3166-2 subdivision code for the named area, which may be used along with the country attribute from the parent class to make a full ISO 3166-2 subdivision code.;1..1;EAID_B1668226_7D16_403e_9978_8359AFB7F478;;
LocationReferencing;IsoNamedArea;subdivisionType;Subdivision type;The ISO 3166-2 subdivison type for the named area.;1..1;EAID_D31CF2FF_95E4_4bb0_8797_065542939A31;;
LocationReferencing;NamedArea;areaName;Area name;The name of the area.;1..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
LocationReferencing;NamedArea;country;Country;EN ISO 3166-1 two-character country code.;0..1;EAID_31321824_B48F_4b14_8739_481ABEA68F95;;
LocationReferencing;NamedArea;namedAreaType;Named area type;The type of the area.;0..1;EAID_D5824266_AE5D_4182_9471_1BD04D6AE5A3;;
LocationReferencing;NutsNamedArea;nutsCode;Nuts code;The NUTS code for the named area.;1..1;EAID_CC02DBA3_C472_4da8_A229_C3D814726B8E;;
LocationReferencing;NutsNamedArea;nutsCodeType;Nuts code type;The NUTS code type for the named area.;1..1;EAID_E87C5F89_5562_4f72_A515_4346E0398E28;;
