Namespace;Enumeration name;Enumeration literal;Designation;Definition;Origin;Original code
LocationReferencing;SubdivisionTypeEnum;cityMunicipality;City municipality;City municipality;;
LocationReferencing;SubdivisionTypeEnum;cityOfCountyRight;City of county right;City of county right;;
LocationReferencing;SubdivisionTypeEnum;commune;Commune;Commune;;
LocationReferencing;SubdivisionTypeEnum;councilArea;Council area;Council area;;
LocationReferencing;SubdivisionTypeEnum;country;Country;Country;;
LocationReferencing;SubdivisionTypeEnum;county;County;County;;
LocationReferencing;SubdivisionTypeEnum;department;Department;Department;;
LocationReferencing;SubdivisionTypeEnum;dependency;Dependency;Dependency;;
LocationReferencing;SubdivisionTypeEnum;district;District;District;;
LocationReferencing;SubdivisionTypeEnum;districtMunicipality;District municipality;District municipality;;
LocationReferencing;SubdivisionTypeEnum;districtWithSpecialStatus;District with special status;District with special status;;
LocationReferencing;SubdivisionTypeEnum;entity;Entity;Entity;;
LocationReferencing;SubdivisionTypeEnum;geographicalEntity;Geographical entity;Geographical entity;;
LocationReferencing;SubdivisionTypeEnum;governorate;Governorate;Governorate;;
LocationReferencing;SubdivisionTypeEnum;laender;Laender;Lnder;;
LocationReferencing;SubdivisionTypeEnum;localCouncil;Local council;Local Council;;
LocationReferencing;SubdivisionTypeEnum;londonBorough;London borough;London borough;;
LocationReferencing;SubdivisionTypeEnum;metropolitanArea;Metropolitan area;Metropolitan area;;
LocationReferencing;SubdivisionTypeEnum;metropolitanDepartment;Metropolitan department;Metropolitan department;;
LocationReferencing;SubdivisionTypeEnum;metropolitanDistrict;Metropolitan district;Metropolitan district;;
LocationReferencing;SubdivisionTypeEnum;metropolitanRegion;Metropolitan region;Metropolitan region;;
LocationReferencing;SubdivisionTypeEnum;municipality;Municipality;Municipality;;
LocationReferencing;SubdivisionTypeEnum;other;Other;Other;;
LocationReferencing;SubdivisionTypeEnum;overseasDepartment;Overseas department;Overseas department;;
LocationReferencing;SubdivisionTypeEnum;overseasRegion;Overseas region;Overseas region;;
LocationReferencing;SubdivisionTypeEnum;overseasTerritorialCollectivity;Overseas territorial collectivity;Overseas territorial collectivity;;
LocationReferencing;SubdivisionTypeEnum;parish;Parish;Parish;;
LocationReferencing;SubdivisionTypeEnum;province;Province;Province;;
LocationReferencing;SubdivisionTypeEnum;quarter;Quarter;Quarter;;
LocationReferencing;SubdivisionTypeEnum;region;Region;Region;;
LocationReferencing;SubdivisionTypeEnum;republic;Republic;Republic;;
LocationReferencing;SubdivisionTypeEnum;republicanCity;Republican city;Republic city;;
LocationReferencing;SubdivisionTypeEnum;selfGovernedPart;Self governed part;Self-governed part;;
LocationReferencing;SubdivisionTypeEnum;specialMunicipality;Special municipality;Special Municipality;;
LocationReferencing;SubdivisionTypeEnum;state;State;State;;
LocationReferencing;SubdivisionTypeEnum;territorialUnit;Territorial unit;Territorial unit;;
LocationReferencing;SubdivisionTypeEnum;territory;Territory;Territory;;
LocationReferencing;SubdivisionTypeEnum;twoTierCounty;Two tier county;Two tier country;;
LocationReferencing;SubdivisionTypeEnum;unitaryAuthority;Unitary authority;Unitary Authority;;
LocationReferencing;SubdivisionTypeEnum;ward;Ward;Ward;;
LocationReferencing;TpegLoc01AreaLocationSubtypeEnum;largeArea;Large area;A geographic or geometric large area.;;
LocationReferencing;TpegLoc01AreaLocationSubtypeEnum;other;Other;Other than as defined in this enumeration.;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;administrativeAreaName;Administrative area name;Name of an administrative area.;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;administrativeReferenceName;Administrative reference name;Reference name by which administrative area is known.;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;areaName;Area name;Name of an area.;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;countyName;County name;Name of a county (administrative sub-division).;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;lakeName;Lake name;Name of a lake.;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;nationName;Nation name;Name of a nation (e.g. Wales) which is a sub-division of a ISO recognised country.;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;other;Other;Other than as defined in this enumeration.;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;policeForceControlAreaName;Police force control area name;Name of a police force control area.;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;regionName;Region name;Name of a geographic region.;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;seaName;Sea name;Name of a sea.;;
LocationReferencing;TpegLoc03AreaDescriptorSubtypeEnum;townName;Town name;Name of a town.;;
LocationReferencing;TpegLoc04HeightTypeEnum;above;Above;Height above specified location.;;
LocationReferencing;TpegLoc04HeightTypeEnum;aboveSeaLevel;Above sea level;Height above mean sea high water level.;;
LocationReferencing;TpegLoc04HeightTypeEnum;aboveStreetLevel;Above street level;Height above street level.;;
LocationReferencing;TpegLoc04HeightTypeEnum;at;At;At height of specified location.;;
LocationReferencing;TpegLoc04HeightTypeEnum;atSeaLevel;At sea level;At mean sea high water level.;;
LocationReferencing;TpegLoc04HeightTypeEnum;atStreetLevel;At street level;At street level.;;
LocationReferencing;TpegLoc04HeightTypeEnum;below;Below;Height below specified location.;;
LocationReferencing;TpegLoc04HeightTypeEnum;belowSeaLevel;Below sea level;Height below mean sea high water level.;;
LocationReferencing;TpegLoc04HeightTypeEnum;belowStreetLevel;Below street level;Height below street level.;;
LocationReferencing;TpegLoc04HeightTypeEnum;other;Other;Other than as defined in this enumeration.;;
LocationReferencing;TpegLoc04HeightTypeEnum;undefined;Undefined;Undefined height reference.;;
LocationReferencing;TpegLoc04HeightTypeEnum;unknown;Unknown;Unknown height reference.;;
Situation;TrafficConstrictionTypeEnum;carriagewayBlocked;Carriageway blocked;The carriageway is totally obstructed in the specified direction due to an unplanned event.;;
Situation;TrafficConstrictionTypeEnum;carriagewayPartiallyObstructed;Carriageway partially obstructed;The carriageway is partially obstructed in the specified direction due to an unplanned event.;;
Situation;TrafficConstrictionTypeEnum;lanesBlocked;Lanes blocked;One or more lanes is totally obstructed in the specified direction due to an unplanned event.;;
Situation;TrafficConstrictionTypeEnum;lanesPartiallyObstructed;Lanes partially obstructed;One or more lanes is partially obstructed in the specified direction due to an unplanned event.;;
Situation;TrafficConstrictionTypeEnum;roadBlocked;Road blocked;The road is totally obstructed, for all vehicles in both directions, due to an unplanned event.;;
Situation;TrafficConstrictionTypeEnum;roadPartiallyObstructed;Road partially obstructed;The road is partially obstructed in both directions due to an unplanned event.;;
Situation;TrafficFlowCharacteristicsEnum;stopAndGo;Stop and go;Traffic flow is of a stop and go nature with queues forming and ending continuously on the specified section of road.;;
Situation;TrafficFlowCharacteristicsEnum;trafficBlocked;Traffic blocked;Traffic is blocked at the specified location and in the specified direction due to an unplanned event.;;
Common;TrafficTrendTypeEnum;trafficBuildingUp;Traffic building up;Traffic conditions are changing from free-flow to heavy or slow service levels.  Queues may also be expected.;;
Common;TrafficTrendTypeEnum;trafficEasing;Traffic easing;Traffic conditions are changing from heavy or slow service levels to free-flow.;;
Common;TrafficTrendTypeEnum;trafficStable;Traffic stable;Traffic conditions are currently stable.;;
Common;TrafficTrendTypeEnum;unknown;Unknown;The trend of traffic conditions is currently unknown.;;
Situation;TransitServiceInformationEnum;cancellations;Cancellations;Public transport, park-and-ride, rail or bus services are cancelled.;;
Situation;TransitServiceInformationEnum;delayDueToBadWeather;Delay due to bad weather;The specified service is delayed due to bad weather.;;
Situation;TransitServiceInformationEnum;delayDueToRepairs;Delay due to repairs;The specified service is delayed due to the need for repairs.;;
Situation;TransitServiceInformationEnum;delayedUntilFurtherNotice;Delayed until further notice;The specified public transport service will be delayed until further notice.;;
Situation;TransitServiceInformationEnum;delaysDueToFlotsam;Delays due to flotsam;The departure of the specified ferry service is delayed due to flotsam.;;
Situation;TransitServiceInformationEnum;departureOnSchedule;Departure on schedule;The departure of the specified service is on schedule.;;
Situation;TransitServiceInformationEnum;ferryReplacedByIceRoad;Ferry replaced by ice road;The ferry service has been replaced by an ice road.;;
Situation;TransitServiceInformationEnum;freeShuttleServiceOperating;Free shuttle service operating;A shuttle service is operating at no charge between specified locations.;;
Situation;TransitServiceInformationEnum;informationServiceNotAvailable;Information service not available;The information service relating to the specified transport system is not currently available.;;
Situation;TransitServiceInformationEnum;irregularServiceDelays;Irregular service delays;The specified service is subject to irregular delays.;;
Situation;TransitServiceInformationEnum;loadCapacityChanged;Load capacity changed;The load capacity for the specified service has been changed.;;
Situation;TransitServiceInformationEnum;other;Other;Other than as defined in this enumeration.;;
Situation;TransitServiceInformationEnum;restrictionsForLongerVehicles;Restrictions for longer vehicles;Long vehicles are subject to restrictions on the specified service.;;
Situation;TransitServiceInformationEnum;serviceDelays;Service delays;The specified service is subject to delays.;;
Situation;TransitServiceInformationEnum;serviceDelaysOfUncertainDuration;Service delays of uncertain duration;The specified service is subject to delays whose predicted duration cannot be estimated accurately.;;
Situation;TransitServiceInformationEnum;serviceFullyBooked;Service fully booked;The departure of the specified service is fully booked.;;
Situation;TransitServiceInformationEnum;serviceNotOperating;Service not operating;The specified service is not operating.;;
Situation;TransitServiceInformationEnum;serviceNotOperatingSubstituteServiceAvailable;Service not operating substitute service available;The specified service is not operating but an alternative service is available.;;
Situation;TransitServiceInformationEnum;serviceSuspended;Service suspended;The specified service has been suspended.;;
Situation;TransitServiceInformationEnum;serviceWithdrawn;Service withdrawn;The specified service has been cancelled.;;
Situation;TransitServiceInformationEnum;shuttleServiceOperating;Shuttle service operating;A shuttle service is operating between the specified locations.;;
Situation;TransitServiceInformationEnum;temporaryChangesToTimetables;Temporary changes to timetables;The timetable for the specified service is subject to temporary changes.;;
Common;UrlLinkTypeEnum;documentPdf;Document PDF;URL link to a pdf document.;;
Common;UrlLinkTypeEnum;html;HTML;URL link to an html page.;;
Common;UrlLinkTypeEnum;image;Image;URL link to an image.;;
Common;UrlLinkTypeEnum;other;Other;Other than as defined in this enumeration.;;
Common;UrlLinkTypeEnum;rss;RSS;URL link to an RSS feed.;;
Common;UrlLinkTypeEnum;videoStream;Video stream;URL link to a video stream.;;
Common;UrlLinkTypeEnum;voiceStream;Voice stream;URL link to a voice stream.;;
Common;ValidityStatusEnum;active;Active;The described event, action or item is currently active regardless of the definition of the validity time specification.;;
Common;ValidityStatusEnum;definedByValidityTimeSpec;Defined by validity time spec;The validity status of the described event, action or item is in accordance with the definition of the validity time specification.;;
Common;ValidityStatusEnum;planned;Planned;The described event, action or item is currently planned regardless of the definition of the validity time specification.;;
Common;ValidityStatusEnum;suspended;Suspended;The described event, action or item is currently suspended, that is inactive, regardless of the definition of the validity time specification.;;
Common;VehicleEquipmentEnum;notUsingSnowChains;Not using snow chains;Vehicle not using snow chains.;;
Common;VehicleEquipmentEnum;notUsingSnowChainsOrTyres;Not using snow chains or tyres;Vehicle not using either snow tyres or snow chains.;;
Common;VehicleEquipmentEnum;snowChainsInUse;Snow chains in use;Vehicle using snow chains.;;
Common;VehicleEquipmentEnum;snowChainsOrTyresInUse;Snow chains or tyres in use;Vehicle using snow tyres or snow chains.;;
Common;VehicleEquipmentEnum;snowTyresInUse;Snow tyres in use;Vehicle using snow tyres.;;
Common;VehicleEquipmentEnum;withoutSnowTyresOrChainsOnBoard;Without snow tyres or chains on board;Vehicle which is not carrying on board snow tyres or chains.;;
Situation;VehicleObstructionTypeEnum;abnormalLoad;Abnormal load;Vehicle(s) carrying exceptional load(s) which may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;brokenDownVehicle;Broken down vehicle;Broken down vehicle(s) on the carriageway which may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;dangerousSlowMovingVehicle;Dangerous slow moving vehicle;Dangerous slow moving vehicles which may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;emergencyVehicle;Emergency vehicle;Emergency service vehicles on the roadway in response to an emergency situation.;;
Situation;VehicleObstructionTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;VehicleObstructionTypeEnum;slowVehicle;Slow vehicle;A vehicle travelling at well below normal highway speeds which may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;vehicleInDifficulty;Vehicle in difficulty;A vehicle is experiencing difficulties (e.g. manoeuvring or propulsion difficulties) which may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;vehicleOnFire;Vehicle on fire;A vehicle is or has been on fire and may cause traffic disruption.;;
Situation;VehicleObstructionTypeEnum;vehicleOnWrongCarriageway;Vehicle on wrong carriageway;A vehicle is travelling the wrong way along a divided highway (i.e. on the wrong side).;;
Common;VehicleStatusEnum;abandoned;Abandoned;Abandoned vehicle.;;
Common;VehicleStatusEnum;brokenDown;Broken down;Broken down vehicle (i.e. it is immobile due to mechanical breakdown).;;
Common;VehicleStatusEnum;burntOut;Burnt out;Burnt out vehicle, but fire is extinguished.;;
Common;VehicleStatusEnum;damaged;Damaged;Vehicle is damaged following an incident or collision. It may be able or not to move by itself.;;
Common;VehicleStatusEnum;damagedAndImmobilized;Damaged and immobilized;Vehicle is damaged following an incident or collision. It is immobilized and therefore needs assistance to be moved.;;
Common;VehicleStatusEnum;inDitch;In ditch;Vehicle has left roadway and ended in a ditch next to the roadway;;
Common;VehicleStatusEnum;jacknifed;Jacknifed;The pulling vehicle is in a jackknifed position with its trailer;;
Common;VehicleStatusEnum;offRoad;Off road;Vehicle has left the carriageway;;
Common;VehicleStatusEnum;onFire;On fire;Vehicle is on fire.;;
Common;VehicleStatusEnum;onTopOfCrashBarrier;On top of crash barrier;Vehicle is on top of the crash barrier, and cannot leave that position autonomously;;
Common;VehicleStatusEnum;onWheels;On wheels;Vehicle is in its upright position after the accident. No special lifting equipment is needed to put it on its wheels;;
Common;VehicleStatusEnum;overturned;Overturned;Vehicle is on its side or upside down;;
Common;VehicleStatusEnum;rollable;Rollable;The vehicle can be rolled on its own wheels. There is no special equipment needed to lift the vehicle, because of blocked wheels or other mechanical problems.;;
Common;VehicleStatusEnum;spunAround;Spun around;Vehicle has come to rest not facing its intended line of travel.;;
Common;VehicleTypeEnum;agriculturalVehicle;Agricultural vehicle;Vehicle normally used for agricultural purposes, e.g. tractor, combined harvester etc.;;
Common;VehicleTypeEnum;anyVehicle;Any vehicle;Vehicle of any type.;;
Common;VehicleTypeEnum;articulatedBus;Articulated bus;Articulated bus;;
Common;VehicleTypeEnum;articulatedTrolleyBus;Articulated trolley bus;Articulated trolley bus;;
Common;VehicleTypeEnum;articulatedVehicle;Articulated vehicle;Articulated vehicle.;;
Common;VehicleTypeEnum;bicycle;Bicycle;Bicycle.;;
Common;VehicleTypeEnum;bus;Bus;Bus.;;
Common;VehicleTypeEnum;car;Car;Vehicles designed and constructed for the carriage of passengers and comprising no more than eight seats in addition to the drivers seat, and having a maximum mass (technically permissible maximum laden mass) not exceeding 3.5 tons (M1).;;
Common;VehicleTypeEnum;caravan;Caravan;Caravan.;;
Common;VehicleTypeEnum;carOrLightVehicle;Car or light vehicle;Car or light vehicle.;;
Common;VehicleTypeEnum;carWithCaravan;Car with caravan;Car towing a caravan.;;
Common;VehicleTypeEnum;carWithTrailer;Car with trailer;Car towing a trailer.;;
Common;VehicleTypeEnum;constructionOrMaintenanceVehicle;Construction or maintenance vehicle;Vehicle normally used for construction or maintenance purposes, e.g. digger, excavator, bulldozer, lorry mounted crane etc.;;
Common;VehicleTypeEnum;fourWheelDrive;Four wheel drive;Four wheel drive vehicle.;;
Common;VehicleTypeEnum;heavyDutyTransporter;Heavy duty transporter;A transporter for heavy duty (usually with abnormal dimensions).;;
Common;VehicleTypeEnum;heavyGoodsVehicle;Heavy goods vehicle;Vehicles with a total weight above 3,500 kg (vehicle and load).;;
Common;VehicleTypeEnum;heavyGoodsVehicleWithTrailer;Heavy goods vehicle with trailer;Heavy goods vehicle with trailer;;
Common;VehicleTypeEnum;heavyVehicle;Heavy vehicle;Vehicle whose weight means it should be classed as a heavy vehicle;;
Common;VehicleTypeEnum;highSidedVehicle;High sided vehicle;High sided vehicle.;;
Common;VehicleTypeEnum;largeCar;Large car;Large car;;
Common;VehicleTypeEnum;largeGoodsVehicle;Large goods vehicle;Vehicles for the carriage of goods and having a maximum mass exceeding 3.5 tonnes (belonging to class N2 when not exceeding 12 tonnes, otherwise class N3).;;
Common;VehicleTypeEnum;lightCommercialVehicle;Light commercial vehicle;Vehicles for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes (class N1).;;
Common;VehicleTypeEnum;lightCommercialVehicleWithTrailer;Light commercial vehicle with trailer;Light goods vehicle with trailer;;
Common;VehicleTypeEnum;longHeavyLorry;Long heavy lorry;A heavy lorry that is longer than normal.;;
Common;VehicleTypeEnum;lorry;Lorry;Lorry of any type.;;
Common;VehicleTypeEnum;metro;Metro;Metro;;
Common;VehicleTypeEnum;minibus;Minibus;Vehicles designed and constructed for the carriage of passengers, comprising more than eight seats in addition to the drivers seat, and having a maximum mass not exceeding 5 tonnes (class M2).;;
Common;VehicleTypeEnum;moped;Moped;Moped (a two wheeled motor vehicle characterized by a small engine typically less than 50cc and by normally having pedals).;;
Common;VehicleTypeEnum;motorcycle;Motorcycle;Motorcycle.;;
Common;VehicleTypeEnum;motorcycleWithSideCar;Motorcycle with side car;Three wheeled vehicle comprising a motorcycle with an attached side car.;;
Common;VehicleTypeEnum;motorhome;Motorhome;Motorhome;;
Common;VehicleTypeEnum;motorscooter;Motorscooter;Motorscooter (a two wheeled motor vehicle characterized by a step-through frame and small diameter wheels).;;
Common;VehicleTypeEnum;other;Other;Other than as defined in this enumeration.;;
Common;VehicleTypeEnum;passengerCar;Passenger car;Passenger car;;
Common;VehicleTypeEnum;smallCar;Small car;Small car;;
Common;VehicleTypeEnum;tanker;Tanker;Vehicle with large tank for carrying bulk liquids.;;
Common;VehicleTypeEnum;threeWheeledVehicle;Three wheeled vehicle;Three wheeled vehicle of unspecified type.;;
Common;VehicleTypeEnum;trailer;Trailer;Trailer.;;
Common;VehicleTypeEnum;tram;Tram;Tram.;;
Common;VehicleTypeEnum;trolleyBus;Trolley bus;Trolley bus;;
Common;VehicleTypeEnum;twoWheeledVehicle;Two wheeled vehicle;Two wheeled vehicle of unspecified type.;;
Common;VehicleTypeEnum;unknown;Unknown;Unknown.;;
Common;VehicleTypeEnum;van;Van;Van.;;
Common;VehicleTypeEnum;vehicleWithCaravan;Vehicle with caravan;Vehicle (of unspecified type) towing a caravan.;;
Common;VehicleTypeEnum;vehicleWithCatalyticConverter;Vehicle with catalytic converter;Vehicle with catalytic converter.;;
Common;VehicleTypeEnum;vehicleWithoutCatalyticConverter;Vehicle without catalytic converter;Vehicle without catalytic converter.;;
Common;VehicleTypeEnum;vehicleWithTrailer;Vehicle with trailer;Vehicle (of unspecified type) towing a trailer.;;
Common;VehicleTypeEnum;withEvenNumberedRegistrationPlates;With even numbered registration plates;Vehicle with even numbered registration plate.;;
Common;VehicleTypeEnum;withOddNumberedRegistrationPlates;With odd numbered registration plates;Vehicle with odd numbered registration plate.;;
Common;VehicleUsageEnum;agricultural;Agricultural;Vehicle used for agricultural purposes.;;
Common;VehicleUsageEnum;carSharing;Car sharing;Vehicles operated by a car-sharing company.;;
Common;VehicleUsageEnum;cityLogistics;City logistics;Vehicles that are used to deliver goods in a city area.;;
Common;VehicleUsageEnum;commercial;Commercial;Vehicle which is limited to non-private usage or public transport usage.;;
Common;VehicleUsageEnum;emergencyServices;Emergency services;Vehicle used by the emergency services.;;
Common;VehicleUsageEnum;military;Military;Vehicle used by the military.;;
Common;VehicleUsageEnum;nonCommercial;Non commercial;Vehicle used for non-commercial or private purposes.;;
Common;VehicleUsageEnum;patrol;Patrol;Vehicle used as part of a patrol service, e.g. road operator or automobile association patrol vehicle.;;
Common;VehicleUsageEnum;recoveryServices;Recovery services;Vehicle used to provide a recovery service.;;
Common;VehicleUsageEnum;roadMaintenanceOrConstruction;Road maintenance or construction;Vehicle used for road maintenance or construction work purposes.;;
Common;VehicleUsageEnum;roadOperator;Road operator;Vehicle used by the road operator.;;
Common;VehicleUsageEnum;taxi;Taxi;Vehicle used to provide an authorised taxi service.;;
Common;WeatherRelatedRoadConditionTypeEnum;blackIce;Black ice;Severe skid risk due to black ice (i.e. clear ice, which is impossible or very difficult to see).;;
Common;WeatherRelatedRoadConditionTypeEnum;freezingRain;Freezing rain;Severe skid risk due to rain falling on sub-zero temperature road surface and freezing.;;
Common;WeatherRelatedRoadConditionTypeEnum;ice;Ice;Increased skid risk due to ice (of any kind).;;
Common;WeatherRelatedRoadConditionTypeEnum;icyPatches;Icy patches;Severe skid risk due to icy patches (i.e. intermittent ice on roadway).;;
Common;WeatherRelatedRoadConditionTypeEnum;other;Other;Other than as defined in this enumeration.;;
Common;WeatherRelatedRoadConditionTypeEnum;slippery;Slippery;Detection at least of the presence of partly or wholly solidified aqueous solution over the sensor.;;
Common;WeatherRelatedRoadConditionTypeEnum;snowDrifts;Snow drifts;Snow drifting is in progress or patches of deep snow are present due to earlier drifting.;;
Common;WeatherRelatedRoadConditionTypeEnum;surfaceWater;Surface water;Water is resting on the roadway which provides an increased hazard to vehicles.;;
Common;WeightTypeEnum;actual;Actual;The weight is the actual weight of a specific vehicle;;
Common;WeightTypeEnum;maximumPermitted;Maximum permitted;The weight is the maximum permitted weight for a vehicle;;
Common;WinterEquipmentManagementTypeEnum;other;Other;Other than as defined in this enumeration.;;
Common;WinterEquipmentManagementTypeEnum;useSnowChainsOrTyres;Use snow chains or tyres;Use snow chains or snow tyres.;;
Common;WinterEquipmentManagementTypeEnum;winterEquipmentOnBoardRequired;Winter equipment on board required;The carrying of winter equipment (snow chains and/or snow tyres) is required.;;

